 -8.1484925172E-03  1.9823590378E+00
 -1.0507551299E-02  1.7923061274E+00
 -1.2876454631E-02  1.6664642583E+00
 -1.4947271269E-02  1.5898583443E+00
 -1.6374624248E-02  1.5526719734E+00
 -1.6881546788E-02  1.5490686802E+00
 -1.6374022988E-02  1.5757050922E+00
 -1.4991756204E-02  1.6303710840E+00
 -1.3052717765E-02  1.7113921114E+00
 -1.0922845023E-02  1.8183811191E+00
 -8.8912332409E-03  1.9541852592E+00
 -9.8253549372E-03  1.8843647112E+00
 -8.7119205610E-03  1.9296428658E+00
 -1.1966877782E-02  1.7079750979E+00
 -1.5710031554E-02  1.5574872883E+00
 -1.9639146874E-02  1.4584053195E+00
 -2.3239610411E-02  1.3977177974E+00
 -2.5859861749E-02  1.3682680087E+00
 -2.6923493481E-02  1.3668116864E+00
 -2.6191058253E-02  1.3915895021E+00
 -2.3895279566E-02  1.4402714285E+00
 -2.0635987123E-02  1.5091333429E+00
 -1.7103162989E-02  1.5944185842E+00
 -1.3816568213E-02  1.6960647962E+00
 -1.1020552619E-02  1.8209069813E+00
 -8.7348531370E-03  1.9801725298E+00
 -7.7209441069E-03  1.9809278894E+00
 -1.0514133837E-02  1.8015365717E+00
 -1.4163183928E-02  1.6494959261E+00
 -1.2082272779E-02  1.7035438548E+00
 -1.6939399338E-02  1.5213460680E+00
 -2.2802753767E-02  1.3962663250E+00
 -2.9282186245E-02  1.3100498034E+00
 -3.5530893225E-02  1.2529109621E+00
 -4.0334769147E-02  1.2217070996E+00
 -4.2523476227E-02  1.2166346682E+00
 -4.1537144788E-02  1.2378804205E+00
 -3.7749982823E-02  1.2831390823E+00
 -3.2276436404E-02  1.3465746918E+00
 -2.6403905515E-02  1.4204158661E+00
 -2.1068174707E-02  1.5002279753E+00
 -1.6662207736E-02  1.5908798269E+00
 -1.3159011007E-02  1.7055011234E+00
 -1.0354601304E-02  1.8557326447E+00
 -7.9370958122E-03  1.8807684336E+00
 -1.0913807836E-02  1.7246430145E+00
