rank,conformer_id,mmff_status,mmff_energy_kcal_mol,relative_energy_kcal_mol,rmsd_to_lowest_angstrom
1,2,0,-5.271752448872535,0.0,5.7824999102671854e-08
2,5,0,-5.271752440447017,8.425518061017101e-09,9.60713243259122e-06
3,7,0,-4.441838202794177,0.8299142460783582,1.1748202944754056
4,4,0,-4.441838201186022,0.8299142476865127,1.174817632967404
5,0,0,-4.441838200464931,0.8299142484076043,1.1748166136111806
6,3,0,-3.848581677988877,1.423170770883658,1.601463798996691
7,6,0,-3.8485816776519997,1.4231707712205353,1.6014640189798566
8,1,0,-1.5717219053722906,3.7000305435002443,1.3726044019207368
